"","h1n1","seasonal"
"13830","FALSE","FALSE"
"21837","FALSE","FALSE"
"22182","FALSE","TRUE"
"16560","FALSE","TRUE"
"3181","FALSE","TRUE"
"9024","FALSE","TRUE"
"11892","TRUE","TRUE"
"11644","TRUE","FALSE"
"21159","FALSE","TRUE"
"4948","FALSE","TRUE"
"25789","FALSE","FALSE"
"1429","FALSE","FALSE"
"17618","TRUE","TRUE"
"735","FALSE","TRUE"
"8245","FALSE","FALSE"
"6910","FALSE","FALSE"
"7528","FALSE","FALSE"
"9246","FALSE","TRUE"
"19841","FALSE","FALSE"
"15113","TRUE","TRUE"
"7224","TRUE","FALSE"
"25850","FALSE","FALSE"
"8179","TRUE","TRUE"
"26642","FALSE","FALSE"
"18218","FALSE","FALSE"
"15749","FALSE","TRUE"
"3925","FALSE","TRUE"
"3420","TRUE","TRUE"
"7363","TRUE","TRUE"
"7723","TRUE","FALSE"
"11878","FALSE","TRUE"
"6656","FALSE","FALSE"
"1363","FALSE","FALSE"
"12406","FALSE","TRUE"
"21679","FALSE","TRUE"
"1088","FALSE","TRUE"
"14308","FALSE","TRUE"
"7653","FALSE","TRUE"
"1170","TRUE","FALSE"
"23132","FALSE","TRUE"
"19864","TRUE","TRUE"
"25408","FALSE","FALSE"
"4349","FALSE","FALSE"
"13195","TRUE","FALSE"
"11901","FALSE","TRUE"
"21339","FALSE","TRUE"
"23221","FALSE","TRUE"
"2220","FALSE","FALSE"
"1705","FALSE","FALSE"
"4024","FALSE","FALSE"
"24016","FALSE","TRUE"
"12718","FALSE","FALSE"
"24911","FALSE","TRUE"
"19925","FALSE","TRUE"
"5374","FALSE","FALSE"
"2002","FALSE","FALSE"
"8860","TRUE","TRUE"
"6853","FALSE","FALSE"
"14526","FALSE","TRUE"
"6118","FALSE","FALSE"
"22988","FALSE","FALSE"
"20364","FALSE","TRUE"
"11813","TRUE","TRUE"
"10211","FALSE","TRUE"
"1894","FALSE","TRUE"
"6846","FALSE","FALSE"
"648","FALSE","FALSE"
"9630","TRUE","FALSE"
"2232","FALSE","FALSE"
"2986","TRUE","TRUE"
"23153","FALSE","FALSE"
"6213","TRUE","TRUE"
"8967","TRUE","TRUE"
"11211","FALSE","TRUE"
"9272","FALSE","FALSE"
"1668","FALSE","FALSE"
"21751","FALSE","TRUE"
"10747","FALSE","TRUE"
"19070","TRUE","TRUE"
"11364","TRUE","TRUE"
"15065","FALSE","TRUE"
"12494","FALSE","TRUE"
"4587","FALSE","FALSE"
"3123","FALSE","TRUE"
"2134","FALSE","FALSE"
"7695","FALSE","FALSE"
"15231","FALSE","FALSE"
"9997","FALSE","FALSE"
"443","FALSE","TRUE"
"6416","FALSE","FALSE"
"555","FALSE","FALSE"
"169","TRUE","TRUE"
"4744","FALSE","FALSE"
"4395","TRUE","TRUE"
"9585","FALSE","FALSE"
"20712","FALSE","FALSE"
"3160","TRUE","TRUE"
"7886","TRUE","TRUE"
"18437","TRUE","FALSE"
"3524","FALSE","TRUE"
"20733","FALSE","FALSE"
"6819","FALSE","FALSE"
"11480","FALSE","TRUE"
"18664","FALSE","TRUE"
"4866","FALSE","FALSE"
"5128","FALSE","TRUE"
"15724","TRUE","TRUE"
"26561","TRUE","TRUE"
"24156","FALSE","FALSE"
"5315","FALSE","TRUE"
"2096","FALSE","TRUE"
"13926","FALSE","FALSE"
"23709","FALSE","TRUE"
"16169","FALSE","FALSE"
"10295","TRUE","TRUE"
"13650","FALSE","TRUE"
"199","TRUE","TRUE"
"19856","TRUE","TRUE"
"10730","FALSE","TRUE"
"18117","FALSE","FALSE"
"15614","FALSE","TRUE"
"25114","FALSE","TRUE"
"13484","FALSE","FALSE"
"14968","FALSE","TRUE"
"10028","FALSE","TRUE"
"11265","FALSE","TRUE"
"22443","FALSE","FALSE"
"6341","FALSE","FALSE"
"8144","FALSE","FALSE"
"15871","TRUE","TRUE"
"10153","TRUE","FALSE"
"549","FALSE","TRUE"
"2379","FALSE","FALSE"
"22479","FALSE","FALSE"
"18539","TRUE","FALSE"
"8128","TRUE","TRUE"
"8014","FALSE","FALSE"
"14291","FALSE","FALSE"
"26166","TRUE","TRUE"
"19962","TRUE","TRUE"
"8147","FALSE","TRUE"
"19087","FALSE","TRUE"
"16155","FALSE","FALSE"
"2464","FALSE","TRUE"
"18249","TRUE","TRUE"
"20801","FALSE","FALSE"
"18235","TRUE","TRUE"
"11308","FALSE","TRUE"
"16676","FALSE","FALSE"
"24477","FALSE","FALSE"
"8479","FALSE","TRUE"
"17507","FALSE","TRUE"
"3059","TRUE","TRUE"
"18784","FALSE","FALSE"
"25685","FALSE","FALSE"
"2456","FALSE","TRUE"
"14342","FALSE","FALSE"
"22603","TRUE","TRUE"
"25969","FALSE","TRUE"
"11008","TRUE","FALSE"
"23818","FALSE","FALSE"
"19611","FALSE","TRUE"
"11973","FALSE","FALSE"
"16094","TRUE","TRUE"
"25432","FALSE","TRUE"
"7240","FALSE","TRUE"
"22799","FALSE","TRUE"
"17039","FALSE","FALSE"
"10036","FALSE","FALSE"
"23717","FALSE","FALSE"
"21708","FALSE","FALSE"
"10861","FALSE","FALSE"
"16006","FALSE","TRUE"
"1902","FALSE","TRUE"
"25462","FALSE","TRUE"
"3958","FALSE","TRUE"
"19173","FALSE","FALSE"
"5468","FALSE","FALSE"
"15019","FALSE","FALSE"
"21793","FALSE","TRUE"
"23994","FALSE","TRUE"
"21574","FALSE","FALSE"
"7271","TRUE","TRUE"
"14063","FALSE","FALSE"
"930","FALSE","TRUE"
"1592","TRUE","TRUE"
"26680","FALSE","FALSE"
"15909","FALSE","FALSE"
"25303","FALSE","FALSE"
"25078","FALSE","FALSE"
"6815","FALSE","TRUE"
"17354","FALSE","FALSE"
"1821","FALSE","FALSE"
"14754","FALSE","TRUE"
"7353","FALSE","TRUE"
"11497","FALSE","FALSE"
"15968","TRUE","TRUE"
"8269","FALSE","FALSE"
"5739","TRUE","TRUE"
"24915","FALSE","TRUE"
"3981","FALSE","FALSE"
"23996","FALSE","FALSE"
"2224","FALSE","FALSE"
"24353","TRUE","FALSE"
"26061","FALSE","FALSE"
"20719","FALSE","FALSE"
"8632","FALSE","FALSE"
"15977","FALSE","FALSE"
"3893","FALSE","FALSE"
"7665","FALSE","FALSE"
"17556","FALSE","FALSE"
"606","FALSE","FALSE"
"4155","FALSE","FALSE"
"8853","FALSE","FALSE"
"23845","TRUE","TRUE"
"8155","FALSE","TRUE"
"17725","FALSE","TRUE"
"6098","TRUE","TRUE"
"11745","FALSE","FALSE"
"24146","TRUE","TRUE"
"6348","FALSE","TRUE"
"10481","FALSE","TRUE"
"21602","FALSE","TRUE"
"16661","FALSE","TRUE"
"20394","FALSE","FALSE"
"20079","FALSE","FALSE"
"7100","FALSE","TRUE"
"20772","FALSE","FALSE"
"18587","TRUE","TRUE"
"18274","TRUE","TRUE"
"4151","FALSE","FALSE"
"15284","TRUE","FALSE"
"19170","TRUE","TRUE"
"25580","FALSE","FALSE"
"15844","FALSE","TRUE"
"2204","FALSE","TRUE"
"18751","TRUE","FALSE"
"10478","FALSE","FALSE"
"9038","TRUE","TRUE"
"13037","TRUE","TRUE"
"20022","FALSE","FALSE"
"17332","FALSE","FALSE"
"6423","FALSE","TRUE"
"21027","TRUE","TRUE"
"13265","FALSE","FALSE"
"24457","FALSE","TRUE"
"19741","FALSE","TRUE"
"24987","FALSE","FALSE"
"23568","TRUE","TRUE"
"13220","TRUE","TRUE"
"10392","FALSE","TRUE"
"21591","FALSE","TRUE"
"19702","FALSE","FALSE"
"25651","TRUE","TRUE"
"15829","FALSE","FALSE"
"4927","FALSE","FALSE"
"6493","FALSE","TRUE"
"3730","FALSE","FALSE"
"24680","FALSE","FALSE"
"16987","FALSE","TRUE"
"15082","FALSE","TRUE"
"19371","FALSE","FALSE"
"11648","FALSE","TRUE"
"10015","FALSE","FALSE"
"4461","FALSE","FALSE"
"8274","FALSE","FALSE"
"3198","FALSE","TRUE"
"5949","TRUE","TRUE"
"8390","FALSE","FALSE"
"9730","TRUE","TRUE"
"19316","FALSE","TRUE"
"25051","FALSE","TRUE"
"21388","FALSE","FALSE"
"1312","FALSE","FALSE"
"21678","FALSE","TRUE"
"22679","TRUE","TRUE"
"22735","FALSE","FALSE"
"10381","FALSE","FALSE"
"5316","FALSE","FALSE"
"2277","FALSE","FALSE"
"11907","FALSE","FALSE"
"2977","FALSE","FALSE"
"15073","FALSE","TRUE"
"5538","FALSE","FALSE"
"1961","TRUE","TRUE"
"4661","TRUE","TRUE"
"24365","FALSE","FALSE"
"14746","FALSE","FALSE"
"875","FALSE","FALSE"
"15679","FALSE","FALSE"
"7029","FALSE","FALSE"
"11147","FALSE","FALSE"
"5652","FALSE","FALSE"
"18771","FALSE","FALSE"
"1108","FALSE","TRUE"
"16159","TRUE","TRUE"
"5443","FALSE","TRUE"
"2498","FALSE","FALSE"
"17700","FALSE","TRUE"
"3831","FALSE","FALSE"
"15751","FALSE","FALSE"
"10086","FALSE","FALSE"
"743","TRUE","TRUE"
"18154","FALSE","FALSE"
"3747","FALSE","TRUE"
"19326","FALSE","TRUE"
"14007","FALSE","TRUE"
"24277","FALSE","TRUE"
"842","FALSE","FALSE"
"12299","FALSE","FALSE"
"20785","FALSE","FALSE"
"16224","FALSE","TRUE"
"25252","TRUE","TRUE"
"13679","FALSE","FALSE"
"18585","FALSE","FALSE"
"23512","TRUE","TRUE"
"6282","TRUE","TRUE"
"12751","FALSE","TRUE"
"24801","TRUE","TRUE"
"19914","FALSE","FALSE"
"17257","TRUE","FALSE"
"14670","FALSE","TRUE"
"17119","FALSE","TRUE"
"9213","TRUE","TRUE"
"24394","FALSE","TRUE"
"1882","FALSE","TRUE"
"18536","FALSE","FALSE"
"10789","FALSE","FALSE"
"14803","FALSE","TRUE"
"7902","FALSE","FALSE"
"22738","FALSE","TRUE"
"25838","FALSE","FALSE"
"26424","FALSE","FALSE"
"18678","FALSE","FALSE"
"21969","FALSE","TRUE"
"928","FALSE","TRUE"
"3770","FALSE","TRUE"
"2000","FALSE","TRUE"
"5761","FALSE","FALSE"
"18325","FALSE","FALSE"
"18427","FALSE","FALSE"
"3258","FALSE","FALSE"
"12754","FALSE","FALSE"
"22246","FALSE","FALSE"
"21932","FALSE","FALSE"
"22764","FALSE","TRUE"
"15211","FALSE","FALSE"
"11210","FALSE","TRUE"
"2525","FALSE","FALSE"
"4488","FALSE","FALSE"
"9222","FALSE","TRUE"
"15641","FALSE","FALSE"
"7559","FALSE","FALSE"
"9573","TRUE","TRUE"
"9463","FALSE","TRUE"
"15029","FALSE","TRUE"
"15482","FALSE","TRUE"
"21723","FALSE","TRUE"
"4289","FALSE","FALSE"
"14210","FALSE","FALSE"
"6516","FALSE","TRUE"
"4175","FALSE","FALSE"
"9152","FALSE","FALSE"
"23162","FALSE","FALSE"
"2114","FALSE","FALSE"
"17388","FALSE","TRUE"
"22324","FALSE","TRUE"
"21731","FALSE","FALSE"
"2265","FALSE","FALSE"
"12006","FALSE","FALSE"
"6625","FALSE","FALSE"
"1189","FALSE","TRUE"
"14248","FALSE","FALSE"
"1105","FALSE","FALSE"
"12399","FALSE","FALSE"
"2293","FALSE","FALSE"
"4018","FALSE","FALSE"
"24616","FALSE","TRUE"
"22602","FALSE","FALSE"
"4892","TRUE","TRUE"
"13581","FALSE","TRUE"
"19059","FALSE","TRUE"
"5407","FALSE","TRUE"
"16244","FALSE","FALSE"
"13071","FALSE","FALSE"
"13775","FALSE","FALSE"
"3278","FALSE","FALSE"
"13349","FALSE","FALSE"
"20209","TRUE","TRUE"
"10525","FALSE","TRUE"
"668","FALSE","FALSE"
"16547","TRUE","TRUE"
"11639","FALSE","TRUE"
"9468","FALSE","TRUE"
"25819","FALSE","FALSE"
"17769","FALSE","TRUE"
"24756","FALSE","FALSE"
"4758","FALSE","TRUE"
"18120","FALSE","FALSE"
"13315","FALSE","FALSE"
"21666","FALSE","FALSE"
"4091","FALSE","TRUE"
"14029","FALSE","TRUE"
"24271","FALSE","TRUE"
"15824","FALSE","FALSE"
"19826","FALSE","FALSE"
"9155","FALSE","FALSE"
"18875","FALSE","FALSE"
"25282","FALSE","FALSE"
"8843","FALSE","FALSE"
"8528","FALSE","FALSE"
"4324","FALSE","TRUE"
"6548","FALSE","TRUE"
"11310","FALSE","FALSE"
"13875","FALSE","TRUE"
"7524","FALSE","TRUE"
"20477","FALSE","FALSE"
"15299","FALSE","TRUE"
"21826","TRUE","TRUE"
"9856","TRUE","TRUE"
"5660","TRUE","TRUE"
"20195","FALSE","FALSE"
"9830","TRUE","TRUE"
"16691","FALSE","TRUE"
"7170","FALSE","FALSE"
"8060","FALSE","FALSE"
"12599","TRUE","TRUE"
"8517","FALSE","FALSE"
"4647","FALSE","TRUE"
"6380","FALSE","TRUE"
"12907","FALSE","FALSE"
"17301","FALSE","FALSE"
"24741","TRUE","TRUE"
"18902","FALSE","FALSE"
"25526","FALSE","TRUE"
"7462","FALSE","FALSE"
"5582","TRUE","TRUE"
"21044","FALSE","TRUE"
"6519","FALSE","FALSE"
"21995","FALSE","FALSE"
"11895","FALSE","FALSE"
"14360","FALSE","FALSE"
"9108","FALSE","FALSE"
"25393","FALSE","FALSE"
"5208","FALSE","FALSE"
"18990","FALSE","TRUE"
"14574","FALSE","TRUE"
"14481","FALSE","FALSE"
"20415","FALSE","FALSE"
"10375","FALSE","FALSE"
"8722","FALSE","TRUE"
"19746","FALSE","FALSE"
"6998","FALSE","FALSE"
"9227","FALSE","TRUE"
"24266","FALSE","TRUE"
"13720","FALSE","FALSE"
"18879","FALSE","FALSE"
"8279","FALSE","FALSE"
"3315","FALSE","FALSE"
"14984","FALSE","FALSE"
"399","FALSE","FALSE"
"16984","FALSE","FALSE"
"24727","FALSE","TRUE"
"18492","FALSE","FALSE"
"23481","FALSE","TRUE"
"20819","FALSE","FALSE"
"18823","FALSE","FALSE"
"26220","FALSE","TRUE"
"4154","FALSE","TRUE"
"14956","FALSE","FALSE"
"11904","TRUE","TRUE"
"19755","TRUE","TRUE"
"25995","FALSE","FALSE"
"20827","FALSE","FALSE"
"15110","FALSE","FALSE"
"12015","FALSE","TRUE"
"3016","FALSE","FALSE"
"19062","FALSE","TRUE"
"13486","FALSE","FALSE"
"19823","TRUE","TRUE"
"3460","TRUE","TRUE"
"4675","FALSE","FALSE"
"23678","FALSE","FALSE"
"9671","TRUE","TRUE"
"4183","TRUE","TRUE"
"16529","TRUE","FALSE"
"581","FALSE","FALSE"
"4956","FALSE","FALSE"
"7543","FALSE","TRUE"
"15765","FALSE","TRUE"
"18","FALSE","FALSE"
"22007","FALSE","TRUE"
"10130","FALSE","FALSE"
"26705","FALSE","TRUE"
"20769","FALSE","TRUE"
"8011","FALSE","FALSE"
"6085","FALSE","TRUE"
"5439","FALSE","TRUE"
"22663","FALSE","FALSE"
"11087","FALSE","TRUE"
"20076","TRUE","TRUE"
"16765","FALSE","FALSE"
"18807","FALSE","FALSE"
"15127","FALSE","TRUE"
"1700","FALSE","FALSE"
"24019","FALSE","FALSE"
"18418","FALSE","TRUE"
"22868","FALSE","FALSE"
"12938","FALSE","FALSE"
"5639","FALSE","TRUE"
"6449","FALSE","FALSE"
"3010","FALSE","TRUE"
"2698","FALSE","FALSE"
"837","FALSE","FALSE"
"19378","FALSE","TRUE"
"4033","FALSE","FALSE"
"4659","FALSE","FALSE"
"15550","FALSE","FALSE"
"2025","FALSE","FALSE"
"2901","FALSE","FALSE"
"8873","FALSE","TRUE"
"17341","FALSE","FALSE"
"3065","FALSE","TRUE"
"12376","FALSE","FALSE"
"18822","FALSE","TRUE"
"7663","FALSE","FALSE"
"20663","FALSE","FALSE"
"19066","FALSE","TRUE"
"1046","FALSE","FALSE"
"25735","TRUE","TRUE"
"13420","TRUE","FALSE"
"18445","FALSE","FALSE"
"20505","FALSE","FALSE"
"13121","FALSE","FALSE"
"8268","FALSE","TRUE"
"6420","TRUE","TRUE"
"14456","TRUE","TRUE"
"20996","TRUE","TRUE"
"11352","FALSE","TRUE"
"20297","FALSE","FALSE"
"3368","FALSE","FALSE"
"12876","FALSE","FALSE"
"19203","FALSE","TRUE"
"623","FALSE","FALSE"
"7032","TRUE","TRUE"
"10732","FALSE","FALSE"
"13297","FALSE","TRUE"
"4392","FALSE","FALSE"
"7988","FALSE","TRUE"
"16754","FALSE","TRUE"
"10461","FALSE","FALSE"
"21051","TRUE","FALSE"
"3221","TRUE","TRUE"
"4808","FALSE","FALSE"
"3283","FALSE","TRUE"
"6584","FALSE","FALSE"
"7040","TRUE","TRUE"
"15987","FALSE","FALSE"
"808","TRUE","TRUE"
"26672","FALSE","TRUE"
"18254","TRUE","TRUE"
"19526","FALSE","FALSE"
"1714","FALSE","FALSE"
"10363","TRUE","TRUE"
"23316","FALSE","TRUE"
"8658","FALSE","TRUE"
"16603","FALSE","FALSE"
"19026","FALSE","FALSE"
"10424","FALSE","FALSE"
"16921","TRUE","FALSE"
"26556","FALSE","FALSE"
"7763","FALSE","FALSE"
"1742","FALSE","TRUE"
"9025","FALSE","FALSE"
"4481","FALSE","FALSE"
"23451","TRUE","FALSE"
"14278","FALSE","FALSE"
"5932","FALSE","TRUE"
"1048","FALSE","TRUE"
"14477","FALSE","FALSE"
"3294","FALSE","FALSE"
"15249","FALSE","TRUE"
"5920","TRUE","TRUE"
"11219","FALSE","TRUE"
"18552","FALSE","TRUE"
"14254","FALSE","FALSE"
"26435","FALSE","FALSE"
"22779","TRUE","TRUE"
"24352","TRUE","TRUE"
"25210","TRUE","TRUE"
"24653","TRUE","TRUE"
"2450","TRUE","TRUE"
"5510","FALSE","TRUE"
"25742","FALSE","FALSE"
"9621","FALSE","FALSE"
"4858","FALSE","FALSE"
"15459","FALSE","FALSE"
"523","FALSE","FALSE"
"24001","TRUE","TRUE"
"8614","FALSE","FALSE"
"15093","FALSE","TRUE"
"9179","TRUE","TRUE"
"3741","TRUE","TRUE"
"24039","FALSE","FALSE"
"23175","FALSE","TRUE"
