"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","doctor_recc_seasonal","chronic_med_condition","child_under_6_months","health_worker","health_insurance","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","opinion_seas_vacc_effective","opinion_seas_risk","opinion_seas_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","hhs_geo_region","census_msa","household_adults","household_children","employment_industry","employment_occupation","h1n1_vaccine","seasonal_vaccine"
"25",0,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",2,2,2,1,2,1,"18-34","","Black","Male","","Not Married","Own","unEmp","A","Non",2,0,"","",FALSE,FALSE
"27",3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,2,4,5,5,4,"45-54","Grad","White","Female","","Married","","Emp","H","Principle",1,2,"f","j",TRUE,TRUE
"29",0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",1,1,1,2,1,1,"55-64","12 Yrs","White","Male","<=75K","Married","Own","~Labor","E","Non",1,0,"","",FALSE,FALSE
"30",2,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,1,5,4,1,4,"65+","","White","Female","<=75K","Not Married","Own","~Labor","D","Not Principle",0,0,"","",FALSE,FALSE
"32",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,2,4,4,1,2,"18-34","College","Other","Female","","Not Married","Own","~Labor","H","Not Principle",3,0,"","",TRUE,FALSE
"33",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,4,2,2,"35-44","College","Black","Male","<=75K","Married","Own","unEmp","F","Principle",1,2,"","",FALSE,TRUE
"34",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",5,4,4,5,2,4,"65+","12 Yrs","White","Female","<=75K","Not Married","Own","~Labor","G","Not Principle",0,0,"","",TRUE,FALSE
"35",1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1",5,1,2,4,2,1,"18-34","Grad","White","Male",">75K","Married","Own","Emp","H","Not Principle",1,2,"c","k",TRUE,TRUE
"36",2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,5,5,5,2,5,"55-64","<12 Yrs","Hispanic","Female","<=75K","Not Married","Rent","~Labor","A","Principle",0,0,"","",TRUE,TRUE
"37",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,2,1,4,2,1,"45-54","College","White","Female",">75K","Married","Own","Emp","F","Non",2,0,"a","a",FALSE,TRUE
"39",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,1,2,3,2,2,"65+","Grad","White","Male","","Married","Own","~Labor","B","Not Principle",1,0,"","",TRUE,TRUE
"41",0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,4,1,5,2,1,"45-54","College","White","Male","<=75K","Not Married","Rent","Emp","I","Not Principle",0,0,"e","g",FALSE,FALSE
"42",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"1",4,4,4,4,4,2,"55-64","College","White","Female",">75K","Married","Own","Emp","C","Not Principle",1,0,"i","m",TRUE,TRUE
"44",2,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",4,2,4,1,4,4,"18-34","Grad","Black","Male",">75K","Not Married","Rent","~Labor","F","Principle",0,1,"","",TRUE,TRUE
"47",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,2,1,5,1,1,"55-64","12 Yrs","White","Female",">75K","Married","Own","~Labor","F","Not Principle",1,0,"","",TRUE,TRUE
"48",0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1",5,1,2,5,1,2,"18-34","Grad","White","Male",">75K","Married","Own","Emp","H","Not Principle",1,0,"j","b",TRUE,FALSE
"50",1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,4,2,5,4,1,"18-34","Grad","White","Female",">75K","Married","Own","~Labor","C","Principle",1,3,"","",TRUE,TRUE
"52",0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,5,4,1,"55-64","Grad","White","Female",">75K","Not Married","Own","Emp","B","Not Principle",0,0,"c","c",FALSE,TRUE
"56",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,4,2,2,"55-64","Grad","White","Female","<=75K","Married","Own","Emp","J","Not Principle",1,0,"e","g",FALSE,FALSE
"57",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,2,2,5,5,2,"65+","12 Yrs","White","Female","<=75K","Not Married","","Emp","A","Non",0,0,"l","e",FALSE,TRUE
"59",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,2,2,4,2,2,"45-54","Grad","White","Female","<=75K","Married","Own","Emp","E","Principle",1,2,"c","c",FALSE,FALSE
"60",3,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",2,5,5,4,1,4,"35-44","College","Hispanic","Female","Below Poverty","Married","Rent","unEmp","I","Principle",1,2,"","",FALSE,TRUE
"61",3,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"1",4,4,5,4,4,1,"45-54","Grad","White","Female","<=75K","Not Married","Own","Emp","G","Not Principle",0,0,"k","j",TRUE,TRUE
"63",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,2,5,1,2,"35-44","12 Yrs","White","Male","Below Poverty","Not Married","Own","unEmp","D","Not Principle",2,0,"","",FALSE,FALSE
"64",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",4,4,4,4,4,1,"18-34","12 Yrs","White","Male","","Not Married","","","H","Principle",3,1,"","",FALSE,TRUE
"69",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",3,2,2,4,4,4,"65+","","White","Female","","","Own","~Labor","A","Non",1,0,"","",FALSE,TRUE
"70",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,1,5,1,1,"65+","College","White","Female","<=75K","Not Married","Own","~Labor","H","Not Principle",0,0,"","",FALSE,FALSE
"71",2,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"0",4,1,5,5,2,5,"18-34","Grad","White","Male","<=75K","Married","Own","Emp","B","Not Principle",2,1,"n","i",FALSE,FALSE
"73",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,4,1,1,"65+","<12 Yrs","White","Male","<=75K","Not Married","Own","~Labor","C","Principle",0,0,"","",FALSE,TRUE
"75",2,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"0",5,4,4,5,5,5,"18-34","College","White","Female","Below Poverty","Married","Rent","~Labor","A","Non",1,0,"","",TRUE,TRUE
"78",1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"1",5,1,1,5,5,4,"35-44","12 Yrs","White","Female",">75K","Married","Own","Emp","J","Principle",1,2,"i","q",FALSE,TRUE
"79",0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,2,1,5,2,1,"65+","Grad","White","Male","","Not Married","Own","~Labor","E","Not Principle",0,0,"","",FALSE,TRUE
"82",3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,5,2,1,"55-64","College","White","Female","<=75K","Married","Own","Emp","I","Not Principle",1,0,"i","q",FALSE,TRUE
"83",2,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",5,4,4,5,4,4,"18-34","Grad","White","Female","<=75K","Married","Own","Emp","E","Not Principle",1,1,"a","m",TRUE,TRUE
"84",3,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",4,4,4,4,4,4,"45-54","Grad","Black","Female","<=75K","Not Married","Own","Emp","J","Not Principle",0,1,"k","i",FALSE,TRUE
"86",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"1",5,4,2,5,4,4,"55-64","12 Yrs","White","Female","<=75K","Married","Own","Emp","C","Principle",1,0,"i","j",TRUE,TRUE
"87",0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,2,4,1,2,"45-54","<12 Yrs","White","Male",">75K","Married","Own","unEmp","C","Not Principle",2,1,"","",FALSE,FALSE
"89",1,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,1,1,4,1,4,"65+","12 Yrs","Other","Female","<=75K","Not Married","Rent","~Labor","B","Non",0,0,"","",FALSE,TRUE
"92",2,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,4,2,5,4,1,"18-34","12 Yrs","White","Female","","Married","Own","~Labor","A","Non",1,2,"","",FALSE,TRUE
"93",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,1,4,4,1,1,"18-34","12 Yrs","White","Male","<=75K","Not Married","Own","Emp","B","Principle",0,0,"e","g",FALSE,FALSE
"96",2,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",5,2,4,5,2,4,"18-34","Grad","White","Female","<=75K","Not Married","Own","unEmp","F","Principle",2,0,"","",FALSE,FALSE
"102",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"1",4,5,1,1,5,1,"45-54","College","White","Female",">75K","Married","Own","Emp","H","Non",1,0,"g","s",FALSE,TRUE
"104",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",3,1,1,4,1,2,"45-54","12 Yrs","White","Male","Below Poverty","Married","Own","unEmp","C","Non",1,1,"","",FALSE,FALSE
"105",2,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",2,2,1,2,3,4,"65+","Grad","White","Female","","Not Married","Own","~Labor","G","Not Principle",0,0,"","",FALSE,FALSE
"107",0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,1,4,1,1,"18-34","Grad","White","Female","<=75K","Not Married","Own","unEmp","B","Not Principle",2,0,"","",FALSE,FALSE
"109",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,2,1,2,2,1,"35-44","Grad","Other","Female",">75K","Married","Own","Emp","I","Not Principle",1,2,"f","h",FALSE,FALSE
"110",0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",3,2,1,4,1,1,"65+","12 Yrs","Hispanic","Female","Below Poverty","Married","Own","~Labor","I","Principle",3,3,"","",FALSE,FALSE
"111",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"1",5,4,4,5,4,4,"55-64","Grad","White","Female","<=75K","Married","Own","~Labor","B","Non",1,0,"","",TRUE,TRUE
"113",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",4,4,4,5,4,4,"55-64","12 Yrs","Hispanic","Female","<=75K","Not Married","Own","Emp","J","Not Principle",2,0,"k","j",TRUE,TRUE
"116",3,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,4,3,4,4,3,"65+","<12 Yrs","Hispanic","Female","","Not Married","Rent","~Labor","J","Not Principle",0,0,"","",FALSE,FALSE
"117",2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,5,2,2,"55-64","12 Yrs","White","Female","<=75K","Married","Own","Emp","A","Non",1,0,"o","i",TRUE,TRUE
"118",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,4,4,5,2,2,"55-64","12 Yrs","Other","Male","Below Poverty","Married","Own","unEmp","D","Principle",1,0,"","",FALSE,FALSE
"119",0,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",3,1,1,4,2,2,"45-54","College","White","Female","<=75K","Married","Own","Emp","D","Not Principle",1,0,"i","m",FALSE,TRUE
"122",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,4,4,2,2,"55-64","Grad","White","Male","<=75K","Not Married","Rent","Emp","G","Not Principle",0,0,"b","i",TRUE,FALSE
"123",2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",5,4,1,5,5,1,"65+","<12 Yrs","White","Female","Below Poverty","Not Married","Rent","~Labor","G","Not Principle",0,0,"","",TRUE,TRUE
"125",0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,1,1,5,1,1,"18-34","Grad","White","Male","<=75K","Married","Own","Emp","J","Not Principle",1,0,"c","c",FALSE,FALSE
"128",0,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,5,5,5,5,5,"45-54","College","White","Female","<=75K","Married","Rent","~Labor","J","Not Principle",3,0,"","",TRUE,TRUE
"129",3,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",5,2,4,5,4,2,"65+","12 Yrs","White","Female","<=75K","Not Married","Own","~Labor","A","Non",0,0,"","",TRUE,TRUE
"132",3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0",4,4,4,4,4,5,"55-64","College","Black","Female","<=75K","Not Married","Own","Emp","F","Principle",0,0,"j","q",FALSE,TRUE
"134",0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,4,5,4,1,"65+","Grad","White","Male","<=75K","Not Married","Own","~Labor","F","Not Principle",0,0,"","",FALSE,TRUE
"135",2,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,1,2,5,2,2,"65+","College","White","Female","<=75K","Not Married","Own","~Labor","B","Not Principle",0,0,"","",FALSE,TRUE
"141",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,2,1,5,4,1,"55-64","College","White","Female","<=75K","Married","Own","~Labor","H","Not Principle",1,0,"","",TRUE,TRUE
"144",1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,4,4,2,"35-44","Grad","White","Female","<=75K","Not Married","Own","Emp","I","Principle",0,0,"q","",FALSE,FALSE
"155",0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",2,1,1,2,1,1,"65+","College","White","Female","","Not Married","Own","~Labor","E","Non",0,0,"","",FALSE,FALSE
"157",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,2,4,2,1,"45-54","12 Yrs","White","Male","<=75K","Married","Own","Emp","F","Not Principle",1,0,"r","j",FALSE,FALSE
"158",1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,1,1,4,2,1,"45-54","12 Yrs","White","Male","<=75K","Not Married","Rent","Emp","F","Non",0,0,"a","i",FALSE,FALSE
"159",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"1",4,1,1,4,2,1,"55-64","Grad","White","Female","","Married","Own","Emp","H","Non",2,0,"i","m",TRUE,TRUE
"160",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"0",4,4,4,4,4,4,"18-34","12 Yrs","White","Female","Below Poverty","Not Married","Own","Emp","F","Not Principle",1,0,"i","m",TRUE,TRUE
"161",0,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",4,1,1,4,4,1,"65+","College","White","Female","<=75K","Married","Own","~Labor","D","Non",1,0,"","",FALSE,TRUE
"163",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,4,1,1,"35-44","Grad","White","Male","","Married","Own","Emp","C","Not Principle",1,3,"k","o",TRUE,FALSE
"164",2,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"0",4,2,4,4,2,1,"18-34","<12 Yrs","Other","Male","<=75K","Married","Rent","Emp","B","Not Principle",1,3,"b","b",FALSE,FALSE
"165",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,4,2,2,"65+","Grad","White","Male",">75K","Not Married","Own","~Labor","H","Principle",0,0,"","",FALSE,TRUE
"166",3,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"1",5,4,5,5,2,5,"35-44","12 Yrs","Black","Female","Below Poverty","Not Married","Rent","unEmp","G","Principle",1,2,"","",FALSE,FALSE
"167",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"1",4,2,2,2,2,2,"35-44","Grad","White","Female",">75K","Married","Own","Emp","C","Non",1,2,"i","m",FALSE,FALSE
"168",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",5,2,2,5,1,1,"55-64","12 Yrs","White","Female","Below Poverty","Married","Rent","~Labor","I","Principle",1,0,"","",TRUE,TRUE
"169",0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"0",5,5,2,5,5,1,"45-54","<12 Yrs","White","Male","Below Poverty","Married","Own","unEmp","G","Non",1,0,"","",TRUE,TRUE
"171",3,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,4,4,4,4,4,"18-34","12 Yrs","Hispanic","Male","","Not Married","Rent","Emp","J","Non",2,3,"b","s",FALSE,FALSE
"172",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"1",4,2,4,4,2,4,"35-44","College","White","Female","<=75K","Not Married","Rent","Emp","G","Non",0,3,"i","n",FALSE,TRUE
"173",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",5,1,2,5,4,2,"55-64","Grad","White","Female","<=75K","Married","Own","~Labor","B","Principle",1,0,"","",TRUE,TRUE
"174",2,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",4,1,1,5,1,1,"18-34","12 Yrs","Hispanic","Male","<=75K","Not Married","Own","unEmp","J","Non",2,0,"","",FALSE,FALSE
"177",0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,1,1,4,1,1,"18-34","Grad","White","Male","<=75K","Not Married","Rent","Emp","A","Non",0,0,"k","o",FALSE,FALSE
